domain_userid,domain_sessionid,event_id,timestamp,category,property_type_id,min_price,max_price,min_bedrooms,max_bedrooms,min_area,max_area,keywords,location,amenities,price_period,furnishings
00032739-ba90-4a91-b4be-cb68f37de39b,d92280fe-85c2-40b7-a8c3-fbfda6f2599c,5669bb3c-628a-47e6-bf1a-91b2785e1312,11/21/2018 11:44,buy,,,,,,,,,[3159],[],,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,5b927ebd-5fd8-4e63-ae3c-e525d035204a,11/21/2018 11:44,rent,,,,,,,,marina wharf villas,[3162],[],yearly,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,62c8bf3e-ca33-4f26-869e-d67b22af6185,11/21/2018 11:44,rent,,,,,,,,,[3162],[],yearly,
00032739-ba90-4a91-b4be-cb68f37de39b,d92280fe-85c2-40b7-a8c3-fbfda6f2599c,905a769c-1235-4566-a9c1-aa43da1390af,11/21/2018 11:44,buy,,,,,,,,,[3159],[],,
00032739-ba90-4a91-b4be-cb68f37de39b,d92280fe-85c2-40b7-a8c3-fbfda6f2599c,74d6c48f-9557-4625-a2c8-8b32eb5b8690,11/21/2018 11:44,buy,,,,,,,,,[3159],[],,
00032739-ba90-4a91-b4be-cb68f37de39b,d92280fe-85c2-40b7-a8c3-fbfda6f2599c,35ea184e-e778-4c4f-8363-ee23376f9f96,11/21/2018 11:44,buy,,,,,,,,,[3159],[],,
0012223f-1b4a-4fe5-8ebd-c8ea30b8d8be,343f0a37-23b7-448f-b486-d5aac3589f8d,b546354f-abc0-4fb7-b937-046f343d8c35,11/21/2018 11:44,rent,,,,,,,,,[3162],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,4e71e21c-5b98-493d-b71a-e837dddfebf1,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,ae3fd55b-0ebb-4e6a-a0b5-73b03efc9bb7,11/21/2018 10:20,rent,1,,,,,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,0eb4fb16-00b0-49c1-a712-ad8504f1dc3e,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,28a38b20-d00f-4f9c-b9be-8915d0914779,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,3ccf6b00-130f-486d-a95e-42a435ad8ddf,11/21/2018 10:23,rent,1,,,1,1,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,82c7323a-9f74-4856-9bd9-45028f1f8153,11/21/2018 10:24,rent,1,,,1,1,,,,[],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,3fb15d87-2455-4b6d-afbd-5c1c5a0b4c94,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000f676e-bf98-40bc-9ff4-95eacf980e2d,5fd2eab6-81f6-4d87-b18e-c3fdc3c1b077,15f9a135-ecb0-44db-8da7-7cbe2b8a9c8b,11/21/2018 10:19,rent,35,,,,,,,,[12],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,e0a1c42c-0de1-4948-8ede-e58aed34acc9,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
000ab7ca-c3fc-44c7-b936-ddadab033dae,c0a6d0d8-4de6-47d2-8e51-a5debdf7bf4d,e9578149-c5d1-4063-a13f-37651f4eb95f,11/21/2018 10:18,rent,1,,,,,,,,[],[],yearly,
