brand,user_id
Android,user_3257
Apple,user_6809
Android,user_9144
Apple,user_3636
Android,user_5970
Apple,user_510
Android,user_4492
Apple,user_3468
Android,user_6504
Android,user_5777
Android,user_9517
Apple,user_7036
Apple,user_5108
Android,user_8800
Android,user_1627
Apple,user_2843
Android,user_8341
Apple,user_6985
Apple,user_8180
Apple,user_8542
Apple,user_8874
Apple,user_1500
Android,user_8228
Android,user_9676
Apple,user_4349
Apple,user_7144
Apple,user_2616
Android,user_4602
Android,user_1815
Android,user_2382
Apple,user_6959
Apple,user_1778
Apple,user_11
Android,user_7604
Android,user_1892
Android,user_6667
Apple,user_6096
Android,user_2491
Android,user_140
Apple,user_5014
Apple,user_2807
Apple,user_6980
Apple,user_9304
Android,user_951
Apple,user_6063
Apple,user_958
Apple,user_8160
Android,user_2050
Apple,user_9728
Android,user_7484
Android,user_9571
Apple,user_9587
Apple,user_2562
Android,user_9353
Apple,user_5325
Android,user_4205
Android,user_6697
Apple,user_27
Android,user_7588
Android,user_2293
Apple,user_8034
Android,user_613
Android,user_6770
Apple,user_5587
Apple,user_3707
Apple,user_5591
Apple,user_1979
Apple,user_1487
Android,user_2862
Apple,user_6907
Apple,user_154
Android,user_1795
Android,user_7684
Android,user_3773
Apple,user_5615
Android,user_9623
Apple,user_9289
Android,user_2186
Android,user_6894
Android,user_8449
Android,user_3635
Apple,user_4151
Apple,user_3876
Apple,user_6405
Apple,user_9438
Apple,user_6231
Apple,user_4752
Apple,user_5716
Apple,user_7309
Android,user_4835
Apple,user_3108
Apple,user_3838
Android,user_2828
Android,user_2452
Android,user_6865
Android,user_2691
Android,user_341
Android,user_2159
Apple,user_3825
Android,user_3409
Android,user_2838
Apple,user_6008
Apple,user_275
Apple,user_1320
Apple,user_8000
Android,user_6936
Android,user_5644
Apple,user_643
Apple,user_359
Apple,user_7636
Android,user_7514
Apple,user_5013
Android,user_1895
Apple,user_1501
Android,user_3095
Apple,user_602
Apple,user_929
Apple,user_4643
Apple,user_2154
Apple,user_7168
Android,user_7966
Apple,user_4303
Apple,user_5078
Apple,user_2094
Apple,user_9138
Apple,user_4377
Android,user_6411
Android,user_7602
Apple,user_8296
Android,user_4619
Android,user_6252
Android,user_3417
Apple,user_4809
Android,user_5199
Android,user_1273
Apple,user_2694
Android,user_9075
Apple,user_6292
Apple,user_2071
Apple,user_6788
Android,user_1959
Apple,user_7645
